arch,subset,lkey,layer,probe_type,n_runs,balanced_accuracy_mean,selectivity_mean,control_balanced_accuracy_mean,raw_accuracy_mean,majority_baseline_mean,balanced_accuracy_std,selectivity_std,control_balanced_accuracy_std,raw_accuracy_std,majority_baseline_std,layer_index
character_separated,stemfinal_same,103,dec3,mlp,12,0.5705431133284742,0.07460285470407323,0.495940258624401,0.8891070343586938,0.9664402502608033,0.1384548470354248,0.12020677087878624,0.03347461606396129,0.052439126557419134,0.006704415254260537,
feature_geometric,all,0,enc0,linear,12,0.6962861570247934,0.20160315273951634,0.494683004285277,0.8659222721722721,0.8939393939393939,0.08885693931528528,0.10853432994640762,0.027490722185343153,0.05550272906815066,0.0,
feature_geometric,all,1,enc1,linear,12,0.7052068028772575,0.19520209090101368,0.5100047119762438,0.8566691641691642,0.8939393939393939,0.08644915512398631,0.08789527860718711,0.010028008671202134,0.06259325636816185,0.0,
feature_geometric,all,2,enc2,linear,12,0.7173985116314662,0.22018049816345267,0.4972180134680135,0.8657210844710845,0.8939393939393939,0.10226376717303351,0.1073579184460738,0.010998318960668588,0.06416231747705271,0.0,
feature_geometric,all,3,enc3,linear,12,0.7235615625956536,0.2393955132154375,0.48416604938021596,0.8770933233433235,0.8939393939393939,0.09026393101661738,0.1120134657982413,0.027364245446645966,0.0517948530526031,0.0,
feature_geometric,all,100,dec0,linear,12,0.6730979300581573,0.17205697720897825,0.5010409528491789,0.8653790653790655,0.8939393939393939,0.08988449752793633,0.10529734101561505,0.025724261754630443,0.036494138768045865,0.0,
feature_geometric,all,101,dec1,linear,12,0.683607380624426,0.16946860326265678,0.5141387773617693,0.8736315073815074,0.8939393939393939,0.12990054778553398,0.16533615032119894,0.047240501302502604,0.047860919393192106,0.0,
feature_geometric,all,102,dec2,linear,12,0.7013115052035507,0.2157356328435874,0.48557587235996325,0.877826479076479,0.8939393939393939,0.13600406899849246,0.12812080089239344,0.01703089276272975,0.049454050857495005,0.0,
feature_geometric,all,103,dec3,linear,12,0.668604797979798,0.1830779576063667,0.48552684037343125,0.8402818015318015,0.8939393939393939,0.12307682133187522,0.12519921109576962,0.019474346722373463,0.06721637738032575,0.0,
feature_geometric,all,0,enc0,mlp,12,0.611830808080808,0.1262684300776926,0.48556237800311547,0.8504673104673105,0.8939393939393939,0.11061715108745025,0.12501538799122963,0.020146653144370117,0.04732576640931386,0.0,
feature_geometric,all,1,enc1,mlp,12,0.6165791437098256,0.11851939321491743,0.498059750494908,0.8515200077700079,0.8939393939393939,0.07738474232085649,0.06899337528830582,0.017353341584839962,0.03730716439823191,0.0,
feature_geometric,all,2,enc2,mlp,12,0.6424936868686869,0.15843013724882846,0.48406354961985837,0.8519488844488845,0.8939393939393939,0.09808199131776642,0.09785202149249055,0.014912082574968009,0.040051760871528966,0.0,
feature_geometric,all,3,enc3,mlp,12,0.637509756657484,0.14206856290198747,0.4954411937554964,0.8484754134754136,0.8939393939393939,0.09098210699886901,0.09404761359859953,0.027197778441725863,0.03703567666231217,0.0,
feature_geometric,all,100,dec0,mlp,12,0.6645307239057239,0.1539352285130722,0.5105954953926516,0.8674715562215561,0.8939393939393939,0.09722504502119482,0.11751140273721325,0.029896156184477034,0.0432547591947119,0.0,
feature_geometric,all,101,dec1,mlp,12,0.6916140572390571,0.18725432102014095,0.5043597362189162,0.8823054723054723,0.8939393939393939,0.11239887141486668,0.11974881837036433,0.02360426816193832,0.045145444408783694,0.0,
feature_geometric,all,102,dec2,mlp,12,0.690608164983165,0.17949991687890463,0.5111082481042604,0.8779449716949718,0.8939393939393939,0.11476859269685259,0.1095797876527556,0.020666635851835924,0.04464388772429992,0.0,
feature_geometric,all,103,dec3,mlp,12,0.6179051882460973,0.08453034232807682,0.5333748459180204,0.8264520202020202,0.8939393939393939,0.13513417888733326,0.14873075947826397,0.027160699196132253,0.05497395009485278,0.0,
feature_geometric,stemfinal_differ,0,enc0,linear,12,0.6412966371665968,0.1056267729158521,0.5356698642507447,0.6376440961764155,0.6719931104766013,0.17855789408030306,0.207702257878635,0.037278801529845085,0.17830559801692933,0.06706802074877764,
